"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","P1","P2","Experimenter-1","Experimenter 2-1",
00:00:00.711,00:00:02.617,00:00:01.906,,,,,,,,,,,,"all right yeah",,,,
00:00:02.617,00:00:05.031,00:00:02.414,,,,,,,,,,,,"so pause filler what's new",,,,
00:00:06.358,00:00:08.354,00:00:01.996,,,,,,,,,,,,,"pause filler nothing really",,,
00:00:10.369,00:00:15.238,00:00:04.869,,,,,,,,,,,,"(laughter) well I'm just planning of making my new video pause filler about Pittsburgh history",,,,
00:00:15.238,00:00:16.864,00:00:01.626,,,,,,,,,,,,"it's up like abridged",,,,
00:00:17.253,00:00:20.316,00:00:03.063,,,,,,,,,,,,"so it's going to be like a really short",,,,
00:00:20.396,00:00:24.257,00:00:03.861,,,,,,,,,,,,"and like I guess a little bit I don't know insulting",,,,
00:00:24.796,00:00:26.283,00:00:01.487,,,,,,,,,,,,"and it's going to be like",,,,
00:00:26.562,00:00:29.376,00:00:02.814,,,,,,,,,,,,"all right so the way Pittsburgh started yo",,,,
00:00:29.376,00:00:33.047,00:00:03.671,,,"SV",,"SV1D",,,,,,,"it was just like so this brick bitch guy who just like",,,,
00:00:33.097,00:00:35.023,00:00:01.926,,,,,,,,,,,,"he saw this like French colony",,,,
00:00:35.023,00:00:35.811,00:00:00.788,,,,,,,,,,,,"he was like oh no",,,,
00:00:35.811,00:00:37.098,00:00:01.287,,,,,,,,,,,,"this is owned by Pitt",,,,
00:00:37.098,00:00:39.602,00:00:02.504,,,,,,,,,,,,"so he go and named it Pitt's bag without an h",,,,
00:00:39.602,00:00:40.211,00:00:00.609,,,,,,,,,,,,"take note",,,,
00:00:40.480,00:00:43.144,00:00:02.664,,,,,,,,,,,,"and you know so it's sort of something like that",,,,
00:00:43.144,00:00:44.761,00:00:01.617,,,,,,,,,,,,"and I just started on this script",,,,
00:00:45.489,00:00:47.315,00:00:01.826,,,,,,,,,,,,"and it's going to be pretty good",,,,
00:00:47.505,00:00:48.073,00:00:00.568,,,,,,,,,,,,,"let's hope",,,
00:00:48.602,00:00:54.958,00:00:06.356,,,,,,,,,,,,"yeah if it gets like a million views I'm going to be so happy",,,,
00:00:55.866,00:00:58.220,00:00:02.354,,,,,,,,,,,,,"I think my highest number of views is twelve",,,
00:00:59.747,00:01:05.075,00:00:05.328,,,,,,,,,,,,"pause filler mine is pause filler one thousand",,,,
00:01:06.000,00:01:06.611,00:00:00.611,,,,,,,,,,,,,"(inaudible)",,,
00:01:06.611,00:01:06.726,00:00:00.115,,,,,,,,,,,,"yeah that's a lot","(inaudible)",,,
00:01:06.726,00:01:08.676,00:00:01.950,,,,,,,,,,,,"yeah that's a lot",,,,
00:01:10.782,00:01:12.617,00:00:01.835,,,,,,,,,,,,,"I got to start working on stuff",,,
00:01:12.867,00:01:14.463,00:00:01.596,,,,,,,,,,,,"yeah again",,,,
00:01:14.513,00:01:21.208,00:00:06.695,,,,,,,,,,,,"and my second was like at least three hundred views yeah",,,,
00:01:21.208,00:01:23.193,00:00:01.985,,,,,,,,,,,,,"that's actually like a pretty wide gap",,,
00:01:24.231,00:01:26.556,00:00:02.325,,,,,,,,,,,,,"three thousand and pause filler three hundred",,,
00:01:26.656,00:01:38.559,00:00:11.903,,,,,,,,,,,,"yeah it was only because I pause filler basically there's this video of this kid who was just banned from like a game that I play",,,,
00:01:39.157,00:01:43.278,00:00:04.121,,,,,,,,,,,,"and like it was really famous across the website",,,,
00:01:44.046,00:01:46.560,00:00:02.514,,,,,,,,,,,,"and I got the video of him like swearing up the camera",,,,
00:01:46.560,00:01:48.057,00:00:01.497,,,,,,,,,,,,"it was so funny",,,,
00:01:48.366,00:01:50.761,00:00:02.395,,,,,,,,,,,,"and I got like a thousand views off",,,,
00:01:50.761,00:01:51.958,00:00:01.197,,,,,,,,,,,,"and I was like yes",,,,
00:01:53.325,00:01:57.476,00:00:04.151,,,,,,,,,,,,,"pause filler I got to figure out how to do some of that stuff so",,,
00:01:57.815,00:01:58.284,00:00:00.469,,,,,,,,,,,,"oh",,,,
00:01:59.551,00:02:04.599,00:00:05.048,,,,,,,,,,,,"there's other like for people like you like pause filler",,,,
00:02:05.318,00:02:10.316,00:00:04.998,,,,,,,,,,,,"there's many ways of creating videos and getting lots of views",,,,
00:02:10.316,00:02:17.700,00:00:07.384,,,,,,,,,,,,"somehow like you could pause filler talk about a guy who pause filler were a lot of things just happened to him",,,,
00:02:17.749,00:02:19.855,00:00:02.106,,,,,,,,,,,,"pause filler you can pull off a DramaAlert",,,,
00:02:19.855,00:02:22.678,00:00:02.823,,,,,,,,,,,,"you could pause filler you know him DramaAlert",,,,
00:02:22.938,00:02:23.327,00:00:00.389,,,,,,,,,,,,,"no",,,
00:02:23.736,00:02:27.517,00:00:03.781,,,,,,,,,,,,"he's basically just this guy on the internet that nobody likes",,,,
00:02:27.517,00:02:30.500,00:00:02.983,,,,,,,,,,,,"and he talks about YouTube news quote unquote",,,,
00:02:30.969,00:02:35.978,00:00:05.009,,,,,,,,,,,,"and he just overdramatizes everything on the website",,,,
00:02:35.978,00:02:41.485,00:00:05.507,,,,,,,,,,,,"so you can pull off a thing like that pause filler you can make anime music videos",,,,
00:02:42.493,00:02:43.261,00:00:00.768,,,,,,,,,,,,,"oh yeah",,,
00:02:43.261,00:02:48.300,00:00:05.039,,,,,,,,,,,,,"I think I was doing something like that a while ago",,,
00:02:48.300,00:02:50.924,00:00:02.624,,,,,,,,,,,,,"but I totally forgot about it",,,
00:02:50.924,00:02:53.728,00:00:02.804,,,,,,,,,,,,"yeah yeah it's something I don't really like",,,,
00:02:53.728,00:02:56.821,00:00:03.093,,,,,,,,,,,,"but it's what you people can do to get a lot of views somehow",,,,
00:02:56.871,00:03:03.665,00:00:06.794,,,,,,,,,,,,"but anyway there's pause filler you could try to be nice and original like me",,,,
00:03:03.665,00:03:07.766,00:00:04.101,,,,,,,,,,,,"but oh if that won't get you a lot of views because well because it's YouTube",,,,
00:03:07.766,00:03:10.420,00:00:02.654,,,,,,,,,,,,"you know there's pause filler what else pause filler",,,,
00:03:10.759,00:03:17.124,00:00:06.365,,,,,,,,,,,,"what's this thing that can get you a lot of views",,,,
00:03:17.314,00:03:17.663,00:00:00.349,,,,,,,,,,,,"oh yeah",,,,
00:03:17.663,00:03:20.168,00:00:02.505,,,,,,,,,,,,"game plays but that's like",,,,
00:03:20.168,00:03:24.368,00:00:04.200,,,,,,,,,,,,"you have to be like one in a hundred in order to get popular",,,,
00:03:25.007,00:03:25.416,00:00:00.409,,,,,,,,,,,,,"yeah",,,
00:03:25.635,00:03:38.087,00:00:12.452,,,,,,,,,,,,"yeah like you're only like you're either popular or not popular which is really bad about the YouTube system with that",,,,
00:03:39.254,00:03:43.874,00:00:04.620,,,,,,,,,,,,"pause filler so I just hit three thousand views on my channel",,,,
00:03:43.874,00:03:47.017,00:00:03.143,,,,,,,,,,,,"so it's working on pretty well for me",,,,
00:03:47.017,00:03:49.122,00:00:02.105,,,,,,,,,,,,"and I have thirty-two subscribers",,,,
00:03:49.740,00:03:54.200,00:00:04.460,,,,,,,,,,,,"so it's going to it's probably going to start working out well soon",,,,
00:03:54.200,00:03:58.281,00:00:04.081,,,,,,,,,,,,"I just got to figure out a way to set up like a good video system",,,,
00:03:58.341,00:04:01.983,00:00:03.642,,,,,,,,,,,,"something that everyone likes which is",,,,
00:04:01.983,00:04:06.313,00:00:04.330,,,,,,,,,,,,,"it's really hard to figure what people want from you on YouTube",,,
00:04:06.792,00:04:14.953,00:00:08.161,,,,,,,,,,,,"yeah like I figured out that pause filler ranting about a bunch of pause filler random people actually works really well",,,,
00:04:14.953,00:04:17.797,00:00:02.844,,,,,,,,,,,,"like those are series that I did for a little bit",,,,
00:04:17.797,00:04:19.303,00:00:01.506,,,,,,,,,,,,"it was called the Internet filth",,,,
00:04:19.842,00:04:24.132,00:00:04.290,,,,,,,,,,,,"and basically what I did is that I went onto like DeviantArt or YouTube",,,,
00:04:24.132,00:04:37.382,00:00:13.250,,,,,,,,,,,,"and I just like ranted on like a bunch of like I don't know crap that they drew or something or pause filler or about like what they what kind of ideas they post",,,,
00:04:38.350,00:04:42.740,00:00:04.390,,,,,,,,,,,,"and I'm not sure if you're aware of the Five Nights Of Freddy's Phantom",,,,
00:04:42.740,00:04:47.250,00:00:04.510,,,,,,,,,,,,"but there was this guy named pause filler Smike",,,,
00:04:48.577,00:04:54.403,00:00:05.826,,,,,,,,,,,,"and what he did is that he basically just made a bunch of top tens about like the characters",,,,
00:04:54.403,00:04:58.344,00:00:03.941,,,,,,,,,,,,"and it was basically like every single one of those videos and",,,,
00:04:58.384,00:05:02.405,00:00:04.021,,,,,,,,,,,,,,"oh sorry pause filler we can start the tutoring session now",,
00:05:02.705,00:05:03.952,00:00:01.247,,,,,,,,,,,,,"all right we're going to start",,,
00:05:05.408,00:05:06.965,00:00:01.557,,,,,,,,,,,,"wait where's my paper",,,,
00:05:08.032,00:05:15.805,00:00:07.773,,,,,,,,,,,,"oh there's my paper",,,,
00:05:16.503,00:05:21.422,00:00:04.919,,,,,,,,,,,,,,"then you'll be (inaudible) this time so I believe your text pre",,
00:05:22.539,00:05:24.116,00:00:01.577,,,,,,,,,,,,,,,"all right",
00:05:24.415,00:05:24.984,00:00:00.569,,,,,,,,,,,,,,"undo",,
00:05:26.161,00:05:27.059,00:00:00.898,,,,,,,,,,,,,,,"thanks for your patience",
00:05:27.059,00:05:31.419,00:00:04.360,,,,,,,,,,,,,,"and so again there'll be pause filler ten problems to go through pause filler just",,
00:05:31.958,00:05:39.990,00:00:08.032,,,,,,,,,,,,,,"before you hint or about being on the goal is yeah pause filler questions",,
00:05:39.990,00:05:43.372,00:00:03.382,,,,,,,,,,,,"I usually don't need it for this round",,,,
00:05:44.130,00:05:46.256,00:00:02.126,,,,,,,,,,,,,"oh yeah",,,
00:05:46.256,00:05:47.313,00:00:01.057,,,,,,,,,,,,,,"pause filler and was the volume and everything",,
00:05:47.313,00:05:49.758,00:00:02.445,,,,,,,,,,,,,,,"all right you guys come here to (inaudible)",
00:05:49.758,00:05:52.711,00:00:02.953,,,,,,,,,,,,,"yeah I'm guessing like it cuts out for",,,
00:05:52.831,00:05:55.485,00:00:02.654,,,,,,,,,,,,,,,"you have to (inaudible) oh I took it already",
00:05:55.485,00:05:56.143,00:00:00.658,,,,,,,,,,,,"it's okay",,,,
00:05:57.000,00:05:58.139,00:00:01.139,,,,,,,,,,,,,,,"fine pause filler",
00:05:58.139,00:05:59.000,00:00:00.861,,,,,,,,,,,,"do I need it",,,"fine pause filler",
00:05:59.000,00:06:00.154,00:00:01.154,,,,,,,,,,,,"do I need it",,,,
00:06:00.154,00:06:01.850,00:00:01.696,,,,,,,,,,,,,,,"no you don't need it anymore",
00:06:01.850,00:06:04.644,00:00:02.794,,,,,,,,,,,,,,,"you just review the concepts of what you guys will be talking about",
00:06:04.644,00:06:08.744,00:00:04.100,,,,,,,,,,,,,,,"but now you guys can go ahead and tutor each other pause filler",
00:06:09.064,00:06:16.088,00:00:07.024,,,,,,,,,,,,,,,"you should don't feel pressured to go through all the twenty-two questions but just what you can get done in twenty minutes or just so okay",
00:06:16.826,00:06:17.594,00:00:00.768,,,,,,,,,,,,"all right",,,,
00:06:19.909,00:06:23.032,00:00:03.123,,,,,,,,,,,,,,,"that is fine the stylus (inaudible)",
00:06:23.700,00:06:24.678,00:00:00.978,,,,,,,,,,,,"got it",,,,
00:06:25.446,00:06:25.746,00:00:00.300,,,,,,,,,,,,,,,"all right",
00:06:34.835,00:06:35.554,00:00:00.719,,,,,,,,,,,,,"all right",,,
00:06:36.711,00:06:51.228,00:00:14.517,,,,,,,,,,,,,,"you're good",,
00:06:51.727,00:06:52.026,00:00:00.299,,,,,,,,,,,,,"all right",,,
00:06:53.144,00:07:06.294,00:00:13.150,,,,,,,,,,,,"all right so I'm the one tutoring you right",,,,
00:07:06.503,00:07:06.812,00:00:00.309,,,,,,,,,,,,,"yeah",,,
00:07:06.912,00:07:09.596,00:00:02.684,,,"SV",,"SV1A",,,,,,,"all right kid so I'm just making sure",,,,
00:07:09.596,00:07:13.507,00:00:03.911,,,"SV",,"SV1A",,,,,,,"because there might have been some sudden change that I'm not aware about",,,,
00:07:13.627,00:07:15.722,00:00:02.095,,,,,,,,,,,,"so I just got to get the green pen",,,,
00:07:17.039,00:07:19.454,00:00:02.415,,,,,,,,,,,,"all right you see what you're doing here right",,,,
00:07:20.342,00:07:20.990,00:00:00.648,,,,,,,,,,,,,"sort of",,,
00:07:22.537,00:07:30.419,00:00:07.882,,,,,,,,,,,,"basically all you have to do is multiply one of these numbers to the other side",,,,
00:07:32.594,00:07:36.216,00:00:03.622,,,,,,,,,,,,,"all right wouldn't that be the three over seven",,,
00:07:36.565,00:07:37.104,00:00:00.539,,,,,,,,,,,,"yeah",,,,
00:07:38.012,00:07:38.480,00:00:00.468,,,,,,,,,,,,,"okay",,,
00:07:39.738,00:07:45.604,00:00:05.866,,,,,,,,,,,,"but what do you do once you pause filler get the three over seven onto the other side",,,,
00:07:46.642,00:07:49.485,00:00:02.843,,,,,,,,,,,,,"you multiply it by four over one",,,
00:07:50.773,00:07:51.870,00:00:01.097,,,,,,,,,,,,"forty over one",,,,
00:07:52.199,00:07:57.238,00:00:05.039,,,,,,,,,,,,,"yeah that's right so we'll do that",,,
00:07:57.338,00:07:59.593,00:00:02.255,,,,,,,,,,,,,"I'm just going to leave that",,,
00:08:00.141,00:08:09.181,00:00:09.040,,,,,,,,,,,,,"now I'm going to screw that there somewhere",,,
00:08:09.181,00:08:10.508,00:00:01.327,,,,,,,,,,,,,"this going to be",,,
00:08:12.254,00:08:18.769,00:00:06.515,,,,,,,,,,,,"all right",,,,
00:08:18.769,00:08:20.774,00:00:02.005,,,,,,,,,,,,,"so I got to simplify that",,,
00:08:21.772,00:08:23.359,00:00:01.587,,,,,,,,,,,,"yeah you got to simplify it",,,,
00:08:24.147,00:08:28.806,00:00:04.659,,,,,,,,,,,,,"so we'll do a quick division thing over here",,,
00:08:29.305,00:08:44.371,00:00:15.066,,,"SV",,"SV1A",,,,,,,"yeah you know what this should be really good for",,,,
00:08:44.820,00:08:45.189,00:00:00.369,,,,"SV",,"SV1A",,,,,,,"what",,,
00:08:45.688,00:08:47.274,00:00:01.586,,,"SV",,"SV1A",,,,,,,"messing around with your friends",,,,
00:08:47.274,00:08:51.584,00:00:04.310,,,"SV",,"SV1A",,,,,,,"like you just make one board and just keep drawing all over it",,,,
00:08:52.153,00:08:55.346,00:00:03.193,,,,"SV",,"SV1A",,,,,,,"oh yeah that actually will be fun to do",,,
00:08:55.346,00:09:00.065,00:00:04.719,,,"SV",,"SV1A",,,,,,,"yeah but first we got to test it to make sure it works",,,,
00:09:01.103,00:09:01.522,00:00:00.419,,,,"SV",,"SV1A",,,,,,,"yeah",,,
00:09:02.210,00:09:02.729,00:00:00.519,,,"SV",,"SV1A",,,,,,,"yeah",,,,
00:09:08.835,00:09:11.419,00:00:02.584,,,,,,,,,,,,,"oh look at that",,,
00:09:12.018,00:09:18.004,00:00:05.986,,,,,,,,,,,,,"this would be yes",,,
00:09:20.139,00:09:25.547,00:00:05.408,,,,,,,,,,,,,"does that look right",,,
00:09:26.355,00:09:27.393,00:00:01.038,,,,,,,,,,,,"yeah that looks all right",,,,
00:09:27.393,00:09:28.880,00:00:01.487,,,,,,,,,,,,"so I'm just going to do that",,,,
00:09:28.880,00:09:32.621,00:00:03.741,,,,,,,"UL",,,,,"all right good job",,,,
00:09:32.621,00:09:32.900,00:00:00.279,,,,,,,,,,,,"oh",,,,
00:09:33.998,00:09:37.490,00:00:03.492,,,,,,,,,,,,,,,"okay just give me the (inaudible)",
00:09:37.490,00:09:40.433,00:00:02.943,,,,,,,,,,,,"(inaudible) all right good yeah",,,,
00:09:41.591,00:09:46.270,00:00:04.679,,,,,,,,,,,,"she was just giving me the tutoring paper and a pen",,,,
00:09:46.400,00:09:50.151,00:00:03.751,,,,,,,,,,,,"all right so now you're on the next page now",,,,
00:09:50.920,00:10:01.136,00:00:10.216,,,,,,,,,,,,,"all right so I'm going to cross that three over eight fourteen over one three",,,
00:10:01.735,00:10:04.359,00:00:02.624,,,,,,,,,,,,,"that's an ugly three but we'll leave it",,,
00:10:05.077,00:10:09.158,00:00:04.081,,,,,,,,,,,,"yeah they'll know what it is once they look over this",,,,
00:10:14.805,00:10:28.823,00:00:14.018,,,,,,,,,,,,,"fourteen twenty-eight fifty-two no yeah fifty-two no forty-two",,,
00:10:28.853,00:10:30.090,00:00:01.237,,,,,,,,,,,,,"that's right",,,
00:10:30.090,00:10:31.827,00:00:01.737,,,,,,,,,,,,,"I knew I was missing something",,,
00:10:33.902,00:10:47.361,00:00:13.459,,,,,,,,,,,,,"so you can go with forty-two five times two over eight which would also equal",,,
00:10:49.000,00:10:49.362,00:00:00.362,,,,,,,,,,,,"(sfx)",,,,
00:10:49.885,00:10:50.454,00:00:00.569,,,,,,,,,,,,,"bless you",,,
00:10:50.754,00:10:58.805,00:00:08.051,,,,,,,,,,,,"thanks I'm trying to erase this",,,,
00:11:07.585,00:11:09.212,00:00:01.627,,,"SV",,"SV1A",,,,,,,"I'm like really tired this morning",,,,
00:11:09.212,00:11:16.156,00:00:06.944,,,"SV",,"SV1A",,,,,,,"that's why I put that giant mark up here and like smashing my face against the board",,,,
00:11:18.600,00:11:22.771,00:00:04.171,,,,,,,,,,,,,"does anything look right",,,
00:11:24.866,00:11:27.869,00:00:03.003,,,,,,,,,,,,"pause filler it should be k equals something",,,,
00:11:27.869,00:11:29.575,00:00:01.706,,,,,,,,,,,,,"yeah that's right",,,
00:11:29.575,00:11:30.793,00:00:01.218,,,,,,,,,,,,,"I forgot about the k",,,
00:11:35.791,00:11:38.295,00:00:02.504,,,,,,,,,,,,"yeah so it wouldn't be that it be this",,,,
00:11:38.295,00:11:50.448,00:00:12.153,,,"SV",,"SV1A",,,,,,,"so the reason why I'm so tired today is because I was up until like twelve thirty working on this script all right",,,,
00:11:51.106,00:11:55.806,00:00:04.700,,,"SV",,"SV1A",,,,,,,"but I was also at an opera show",,,,
00:11:55.806,00:12:00.186,00:00:04.380,,,"SV",,"SV1A",,,,,,,"and at that opera show it was really long",,,,
00:12:00.186,00:12:04.915,00:00:04.729,,,"SV",,"SV1A",,,,,,,"so I was really tired and",,,,
00:12:05.633,00:12:06.441,00:00:00.808,,,,"SV",,"SV1A",,,,,,,"you go to opera",,,
00:12:06.441,00:12:10.263,00:00:03.822,,,"SV",,"SV1A",,,,,,,"no I went to an opera with my class because I had to",,,,
00:12:10.592,00:12:11.370,00:00:00.778,,,,"SV",,"SV1A",,,,,,,"oh",,,
00:12:11.600,00:12:13.525,00:00:01.925,,,"SV",,"SV1A",,,,,,,"and I was up until twelve thirty",,,,
00:12:13.855,00:12:16.928,00:00:03.073,,,"SV",,"SV1A",,,,,,,"and do you know what the funniest part was",,,,
00:12:17.407,00:12:17.706,00:00:00.299,,,,"SV",,"SV1A",,,,,,,"what",,,
00:12:17.706,00:12:23.014,00:00:05.308,,,"SV",,"SV1A",,,,,,,"pause filler I was like thinking about you the entire time",,,,
00:12:23.014,00:12:25.578,00:00:02.564,,,"SV",,"SV1A",,,,,,,"and it was for the weirdest reason",,,,
00:12:25.788,00:12:29.449,00:00:03.661,,,"SV",,"SV1A",,,,,,,"you know how like it's basically yesterday",,,,
00:12:29.449,00:12:34.957,00:00:05.508,,,"SV",,"SV1A",,,,,,,"there's like this weird comicon for like Japanese like the anime con like",,,,
00:12:36.204,00:12:37.401,00:00:01.197,,,,"SV",,"SV1A",,,,,,,"oh my gosh",,,
00:12:37.910,00:12:47.937,00:00:10.027,,,"SV",,"SV1A",,,,,,,"and like I was (laughter) like it was like I was talking to my dad like the Uber that we had",,,,
00:12:48.436,00:12:51.988,00:00:03.552,,,"SV",,"SV1A",,,,,,,"and it's basically at this car service",,,,
00:12:51.988,00:12:55.769,00:00:03.781,,,"SV",,"SV1A",,,,,,,"and we saw like all the weird people",,,,
00:12:55.819,00:12:58.523,00:00:02.704,,,"SV",,"SV1A",,,,,,,"and we were like I was like oh my goodness",,,,
00:12:59.232,00:13:00.908,00:00:01.676,,,"SV",,"SV1A",,,,,,,"and like what did the Uber driver",,,,
00:13:00.908,00:13:06.814,00:00:05.906,,,"SV",,"SV1A",,,,,,,"he said we had these people in like full costumes in our pause filler in our cars",,,,
00:13:06.814,00:13:08.361,00:00:01.547,,,"SV",,"SV1A",,,,,,,"and he said I'm like oh my gosh",,,,
00:13:08.361,00:13:10.047,00:00:01.686,,,"SV",,"SV1A",,,,,,,"I'm afraid of sitting here now",,,,
00:13:10.127,00:13:16.093,00:00:05.966,,,"SV",,"SV1A",,,,,,,"and all right here comes the best part",,,,
00:13:16.093,00:13:21.820,00:00:05.727,,,"SV",,"SV1A",,,,,,,"so once we and dad were going to another street corner so we could easily be picked up like",,,,
00:13:22.349,00:13:24.754,00:00:02.405,,,"SV",,"SV1A",,,,,,,"we saw a bunch of police officers (laughter)",,,,
00:13:27.298,00:13:31.069,00:00:03.771,,,"SV",,"SV1A",,,,,,,"no this is like going where you think it's going all right but",,,,
00:13:31.149,00:13:33.514,00:00:02.365,,,"SV",,"SV1A",,,,,,,"pause filler there's just a bunch of police cars over here",,,,
00:13:33.514,00:13:36.138,00:00:02.624,,,"SV",,"SV1A",,,,,,,"they're like three in a row all right",,,,
00:13:36.307,00:13:36.836,00:00:00.529,,,,"SV",,"SV1A",,,,,,,"why",,,
00:13:37.774,00:13:38.353,00:00:00.579,,,"SV",,"SV1A",,,,,,,"I don't know",,,,
00:13:38.353,00:13:40.258,00:00:01.905,,,"SV",,"SV1A",,,,,,,"but I decided to make a joke",,,,
00:13:40.837,00:13:45.207,00:00:04.370,,,"SV",,"SV1A",,,,,,,"because a lot of them were like wearing like short skirts",,,,
00:13:45.207,00:13:49.757,00:00:04.550,,,"SV",,"SV1A",,,,,,,"and I was like hey that's not eww that's wow",,,,
00:13:49.817,00:13:56.082,00:00:06.265,,,"SV",,"SV1C",,,,,,,"and I was like I told you the weeaboo prostitutes were out tonight",,,,
00:13:56.950,00:13:58.557,00:00:01.607,,,"SV",,"SV1A",,,,,,,"that's what I said to my dad",,,,
00:13:59.046,00:14:03.545,00:00:04.499,,,"SV",,"SV1A",,,,,,,"and he was like well you're right Jordan",,,,
00:14:03.545,00:14:04.643,00:00:01.098,,,"SV",,"SV1A",,,,,,,"I'm like yes",,,,
00:14:05.152,00:14:08.115,00:00:02.963,,,"SV",,"SV1A",,,,,,,"because it was so funny",,,,
00:14:08.344,00:14:12.176,00:00:03.832,,,"SV",,"SV1A",,,,,,,"like I knew this would happened like sometime at that night",,,,
00:14:13.872,00:14:17.703,00:00:03.831,,,,"SV",,"SV1A",,,,,,,"jeez Pittsburgh is getting weird and fast",,,
00:14:18.352,00:14:26.503,00:00:08.151,,,"SV",,"SV1A",,,,,,,"no it's just like Pittsburgh had like and that's what I'm doing in my pause filler like abridged Pittsburgh history",,,,
00:14:26.812,00:14:31.312,00:00:04.500,,,"SV",,"SV1A",,,,,,,"and then it's like basically nothing really happens from the thirtys to two thousands",,,,
00:14:31.312,00:14:34.295,00:00:02.983,,,"SV",,"SV1A",,,,,,,"until the furries came and ruined everything for us",,,,
