"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","P1","P2","Experimenter-1","Experimenter 2-1",
00:14:34.425,00:14:41.988,00:00:07.563,,,"SV",,"SV1A",,,,,,,"and every time that like a furry or anything related comes to this town I get severely afraid so",,,,
00:14:42.257,00:14:48.383,00:00:06.126,,,"SV",,"SV1A",,,,,,,"and then I made like this short segment where I made an open letter to the furries and anything related",,,,
00:14:49.176,00:14:49.182,00:00:00.006,"00",,,,,,,,,,,,,,,
00:14:49.182,00:14:52.858,00:00:03.676,"00",,,"SV",,,,,,,,,"furries those things are kind of creepy if you think about it",,,
00:14:52.858,00:14:52.873,00:00:00.015,"00",,,"SV",,,,,,,,,"furries those things are kind of creepy if you think about it",,,
00:14:52.873,00:14:55.647,00:00:02.774,"00",,,,,,,,,,,"they're even creepier if you go onto the Internet",,,,
00:14:55.647,00:14:55.669,00:00:00.022,"00",,,,,,,,,,,,,,,
00:14:55.836,00:14:55.846,00:00:00.010,"00",,,,,,,,,,,,,,,
00:14:55.846,00:15:08.178,00:00:12.332,"00",,,,,,,,,,,"like if you are a true a larker like me you furries are like weirder than they are in a costume",,,,
00:15:08.178,00:15:08.185,00:00:00.007,"00",,,,,,,,,,,,,,,
00:15:09.446,00:15:12.798,00:00:03.352,,,"SV",,"SV2B",,,,,,,"like I don't think you'd understand because",,,,
00:15:12.888,00:15:17.388,00:00:04.500,,,"SV",,"SV3A",,,,,,,"all right so let's get back on topic to see what you're doing here",,,,
00:15:17.388,00:15:18.914,00:00:01.526,,,,,,,,,,,,"because I'm getting really curious",,,,
00:15:18.914,00:15:21.558,00:00:02.644,,,,,,,,,,,,"all right so what you did is you add it onto that",,,,
00:15:21.558,00:15:23.374,00:00:01.816,,,,,,,,,,,,"and you got seventy right",,,,
00:15:23.554,00:15:23.873,00:00:00.319,,,,,,,,,,,,,"yeah",,,
00:15:25.230,00:15:28.931,00:00:03.701,,,,,,,,,,,,"and then what's this",,,,
00:15:31.027,00:15:33.100,00:00:02.073,,,,,,,,,,,,,"that is y I messed it up pretty badly",,,
00:15:34.559,00:15:36.195,00:00:01.636,,,,,,,,,,,,"why did you put a y there",,,,
00:15:37.193,00:15:39.817,00:00:02.624,,,,,,,,,,,,,"pause filler because you're supposed to multiply the ys right",,,
00:15:40.016,00:15:42.670,00:00:02.654,,,,,,,,,,,,,"because you multiply y here",,,
00:15:42.670,00:15:44.376,00:00:01.706,,,,,,,,,,,,,"and the y would cancel out",,,
00:15:44.676,00:15:46.501,00:00:01.825,,,,,,,,,,,,,"and those two multiply on this side",,,
00:15:47.040,00:15:49.325,00:00:02.285,,,,,,,,,,,,,"and maybe you just add y seventy",,,
00:15:49.904,00:15:56.369,00:00:06.465,,,,,,,,,,,,"pause filler right so pause filler what you do is that correct",,,,
00:15:56.968,00:15:57.287,00:00:00.319,,,,,,,,,,,,"no",,,,
00:16:00.240,00:16:05.927,00:00:05.687,,,,,,,,,,,,"oh my goodness",,,,
00:16:05.927,00:16:10.896,00:00:04.969,,,,,,,,,,,,"all right so one hundred and forty over three",,,,
00:16:11.355,00:16:14.099,00:00:02.744,,,,,,,,,,,,"and then you're dividing three by one hundred four",,,,
00:16:14.099,00:16:15.685,00:00:01.586,,,,,,,,,,,,"and four divided by three",,,,
00:16:15.685,00:16:17.730,00:00:02.045,,,,,,,,,,,,"all right do what you're doing there here",,,,
00:16:20.414,00:16:20.763,00:00:00.349,,,,,,,,,,,,,"where",,,
00:16:21.941,00:16:23.068,00:00:01.127,,,,,,,,,,,,"pause filler this",,,,
00:16:24.705,00:16:29.154,00:00:04.449,,,,,,,,,,,,,"oh okay so that's twenty",,,
00:16:30.871,00:16:36.827,00:00:05.956,,,,,,,,,,,,,"I can get this eighty well this nine eight",,,
00:16:37.585,00:16:41.826,00:00:04.241,,,,,,,,,,,,,"I'm not good at drawing in small spaces",,,
00:16:41.905,00:16:43.083,00:00:01.178,,,,,,,,,,,,,"there we're going to leave it there",,,
00:16:44.440,00:16:46.435,00:00:01.995,,,,,,,,,,,,,"and we're going to have a left over two",,,
00:16:49.458,00:16:50.725,00:00:01.267,,,,,,,,,,,,,"you can't even really see it from here",,,
00:16:50.725,00:16:52.611,00:00:01.886,,,,,,,,,,,,,"because the bar down here blocks it",,,
00:16:53.310,00:16:53.908,00:00:00.598,,,,,,,,,,,,"what bar",,,,
00:16:54.397,00:16:59.515,00:00:05.118,,,,,,,,,,,,,"there's a bar that moves the screen side to side",,,
00:17:01.072,00:17:05.023,00:00:03.951,,,,,,,,,,,,"oh pause filler I don't have it",,,,
00:17:05.023,00:17:05.781,00:00:00.758,,,,,,,,,,,,,"mine does",,,
00:17:06.978,00:17:12.436,00:00:05.458,,,,,,,,,,,,"oh pause filler ah weird pause filler",,,,
00:17:13.294,00:17:14.960,00:00:01.666,,,,,,,,,,,,"I don't even have a scroller",,,,
00:17:14.960,00:17:20.907,00:00:05.947,,,,,,,,,,,,,"actually now I do not have one either",,,
00:17:21.715,00:17:28.290,00:00:06.575,,,,,,,,,,,,,"ah that is odd pause filler",,,
00:17:33.578,00:17:50.849,00:00:17.271,,,,,,,,,,,,"pause filler well can you fit the rest of the problem there",,,,
00:17:53.223,00:17:56.306,00:00:03.083,,,,,,,,,,,,,"no I have no space to write",,,
00:17:56.306,00:17:58.282,00:00:01.976,,,,,,,,,,,,"well I do",,,,
00:17:58.282,00:17:58.930,00:00:00.648,,,,,,,,,,,,,"that's weird",,,
00:17:59.519,00:17:59.918,00:00:00.399,,,,,,,,,,,,"see",,,,
00:17:59.918,00:18:05.954,00:00:06.036,,,,,,,,,,,,,"I'm going to move it over here and have the twenty",,,
00:18:06.064,00:18:08.479,00:00:02.415,,,,,,,,,,,,"wait wait wait there",,,,
00:18:09.676,00:18:13.946,00:00:04.270,,,,,,,,,,,,,"okay so we're going to have the twenty over here",,,
00:18:15.193,00:18:17.448,00:00:02.255,,,,,,,,,,,,,"and then minus the eighteen",,,
00:18:18.925,00:18:20.302,00:00:01.377,,,,,,,,,,,,"no that's infinite pause filler",,,,
00:18:20.930,00:18:23.475,00:00:02.545,,,,,,,,,,,,,"yeah so then you would have two over three because",,,
00:18:23.475,00:18:25.470,00:00:01.995,,,,,,,,,,,,"you'd put the line over the three",,,,
00:18:28.603,00:18:30.968,00:00:02.365,,,,,,,,,,,,,"no but wouldn't that be with decimals",,,
00:18:32.195,00:18:34.061,00:00:01.866,,,,,,,,,,,,"oh that yeah that would be with decimals",,,,
00:18:34.061,00:18:40.027,00:00:05.966,,,,,,,,,,,,"but oh wait I'm totally lost here now",,,,
00:18:40.237,00:18:42.890,00:00:02.653,,,,,,,,,,,,,"yeah I'm a little confused",,,
00:18:42.960,00:18:49.875,00:00:06.915,,,,,,,,,,,,,"I think if it's infinite you just put like two over three to show that it can never be simplified to a whole number",,,
00:18:49.934,00:18:51.750,00:00:01.816,,,,,,,,,,,,"yeah so that's what I was thinking",,,,
00:18:51.750,00:18:54.005,00:00:02.255,,,,,,,,,,,,"so just write the",,,,
00:18:54.424,00:18:59.523,00:00:05.099,,,,,,,,,,,,,"yeah so in the end I got like negative forty-six to over three equalsy",,,
00:18:59.842,00:19:01.488,00:00:01.646,,,,,,,,,,,,"all right",,,,
00:19:02.875,00:19:03.434,00:00:00.559,,,,,,,,,,,,,"okay",,,
00:19:03.953,00:19:06.826,00:00:02.873,,,,,,,,,,,,"all right (inaudible) but that's over right",,,,
00:19:06.826,00:19:07.495,00:00:00.669,,,,,,,,,,,,"all right pause filler",,,,
00:19:08.492,00:19:12.354,00:00:03.862,,,,,,,,,,,,"that's a really good checkmark",,,,
00:19:12.354,00:19:14.499,00:00:02.145,,,,,,,,,,,,,"yeah all right",,,
00:19:14.858,00:19:15.297,00:00:00.439,,,,,,,,,,,,,"okay",,,
00:19:16.145,00:19:21.822,00:00:05.677,,,,,,,,,,,,"all right what you do is you subtract thirteen basically",,,,
00:19:22.391,00:19:25.015,00:00:02.624,,,,,,,,,,,,"because this is a plus you see",,,,
00:19:25.963,00:19:26.232,00:00:00.269,,,,,,,,,,,,,"yeah",,,
00:19:27.300,00:19:27.669,00:00:00.369,,,,,,,,,,,,"yeah",,,,
00:19:28.487,00:19:36.409,00:00:07.922,,,,,,,,,,,,,"so well technically what I could just do here is that I can just wipe whoa I can just wipe about the thirteen and then",,,
00:19:36.638,00:19:37.915,00:00:01.277,,,,,,,,,,,,,"oh why is that weird",,,
00:19:38.823,00:19:43.303,00:00:04.480,,,,,,,,,,,,,"and I can just turn the forty-four into a thirty-one",,,
00:19:45.458,00:19:47.164,00:00:01.706,,,,,,,,,,,,,"that saves up a whole lot of room",,,
00:19:47.683,00:19:48.362,00:00:00.679,,,,,,,,,,,,"indeed",,,,
00:19:53.759,00:19:56.962,00:00:03.203,,,,,,,,,,,,,"I want to redo that and pause filler",,,
00:19:57.840,00:20:00.464,00:00:02.624,,,,,,,,,,,,,"okay no give me my two",,,
00:20:00.734,00:20:06.939,00:00:06.205,,,,,,,,,,,,,"there we go there there okay",,,
00:20:07.029,00:20:07.588,00:00:00.559,,,,,,,,,,,,,"stay there",,,
00:20:08.775,00:20:12.387,00:00:03.612,,,,,,,,,,,,,"now we need to multiply the x",,,
00:20:13.554,00:20:19.082,00:00:05.528,,,,,,,,,,,,,"so technically we would get one over two would equal thirty",,,
00:20:22.524,00:20:29.618,00:00:07.094,,,,,,,,,,,,,"yeah so now we have to bring the thirty-one over to the one over two and multiply that to get the",,,
00:20:31.075,00:20:31.713,00:00:00.638,,,,,,,,,,,,"pause filler hold on",,,,
00:20:32.841,00:20:41.082,00:00:08.241,,,,,,,,,,,,"all right you got thirty-one over two right",,,,
00:20:41.461,00:20:41.730,00:00:00.269,,,,,,,,,,,,,"yeah",,,
00:20:42.209,00:20:42.658,00:00:00.449,,,,,,,,,,,,"yeah",,,,
00:20:43.287,00:20:52.636,00:00:09.349,,,,,,,,,,,,,"so then fifteen one over two",,,
00:20:52.636,00:20:53.713,00:00:01.077,,,,,,,,,,,,,"because you got one left",,,
00:20:54.352,00:20:57.874,00:00:03.522,,,,,,,,,,,,,"well gave me an extra line",,,
00:21:00.777,00:21:02.014,00:00:01.237,,,,,,,,,,,,,"just give me that",,,
00:21:03.251,00:21:03.551,00:00:00.300,,,,,,,,,,,,,"there",,,
00:21:04.030,00:21:11.163,00:00:07.133,,,"SV",,"SV1A",,,,,,,"pause filler oh my god I'm so tired",,,,
00:21:11.163,00:21:16.002,00:00:04.839,,,,,,,,,,,,"pause filler fifteen and a half correct",,,,
00:21:19.594,00:21:19.724,00:00:00.130,,,,,,,,,,,,"well",,,,
00:21:19.724,00:21:37.853,00:00:18.129,,,,,,,,,,,,"all right all right",,,,
00:21:37.903,00:21:41.844,00:00:03.941,,,,,,,,,,,,"oh my gosh",,,,
00:21:41.844,00:21:45.017,00:00:03.173,,,"SV",,"SV1A",,,,,,,"I'm sick of these problems please",,,,
00:21:45.017,00:21:45.765,00:00:00.748,,,,"SV",,"SV1A",,,,,,,"I know",,,
00:21:45.765,00:21:47.830,00:00:02.065,,,,,,,,,,,,,"so eliminate that",,,
00:21:47.830,00:21:49.257,00:00:01.427,,,,,,,,,,,,,"we're just going to add sixteen",,,
00:21:49.257,00:21:53.028,00:00:03.771,,,,,,,,,,,,,"so that becomes forty-seven",,,
00:21:58.725,00:22:00.551,00:00:01.826,,,,,,,,,,,,,"so multiply the x",,,
00:22:03.963,00:22:05.690,00:00:01.727,,,,,,,,,,,,,"I'll move that down a little bit more",,,
00:22:15.028,00:22:22.352,00:00:07.324,,,,,,,,,,,,,"well that's weird equals",,,
00:22:22.352,00:22:28.627,00:00:06.275,,,,,,,,,,,,,"oh jeez now I have to actually do some math",,,
00:22:29.795,00:22:35.000,00:00:05.205,,,,,,,,,,,,,"what's forty-seven times three",,,
00:22:35.000,00:22:35.974,00:00:00.974,,,,,,,,,,,,"pause filler","what's forty-seven times three",,,
00:22:35.974,00:22:36.739,00:00:00.765,,,,,,,,,,,,,"what's forty-seven times three",,,
00:22:39.044,00:22:44.312,00:00:05.268,,,,,,,,,,,,,"forty-seven ninety-four",,,
00:22:47.774,00:22:52.064,00:00:04.290,,,,,,,,,,,,,"no wait",,,
00:22:52.314,00:22:56.863,00:00:04.549,,,,,,,,,,,,,"first we're actually multiplying forty-seven over one",,,
00:22:56.863,00:22:58.889,00:00:02.026,,,"SV",,"SV1A",,,,,,,"I'm going to pull out the calculator",,,,
00:23:00.425,00:23:02.151,00:00:01.726,,,"SV",,"SV1A",,,,,,,"wait why didn't make",,,,
00:23:03.837,00:23:06.042,00:00:02.205,,,"SV",,"SV1A",,,,,,,"oh you got to be kidding me",,,,
00:23:06.042,00:23:09.235,00:00:03.193,,,,"SV",,"SV1A",,,,,,,"I think they have like a lock on it",,,
00:23:12.917,00:23:14.653,00:00:01.736,,,"SV",,"SV1A",,,,,,,"oh no we can't cheat",,,,
00:23:14.723,00:23:15.800,00:00:01.077,,,"SV",,"SV1A",,,,,,,"ding it all right",,,,
00:23:16.738,00:23:18.843,00:00:02.105,,,,,,,,,,,,,"I was let me do it quickly",,,
00:23:24.101,00:23:24.929,00:00:00.828,,,,,,,,,,,,,"top there pause filler",,,
00:23:27.324,00:23:36.423,00:00:09.099,,,,,,,,,,,,,"twenty-one to twelve for one forty-one over six",,,
00:23:38.578,00:23:43.008,00:00:04.430,,,,,,,,,,,,"with six all right",,,,
00:23:43.008,00:23:44.914,00:00:01.906,,,,,,,,,,,,"and then it's just six to the infinite",,,,
00:23:44.914,00:23:49.933,00:00:05.019,,,,,,,,,,,,"so that's what I get",,,,
00:23:50.531,00:24:05.777,00:00:15.246,,,,,,,,,,,,,"all right I'm going to see if this would work here well",,,
00:24:07.942,00:24:17.520,00:00:09.578,,,,,,,,,,,,,"and this would be a two",,,
00:24:18.717,00:24:23.596,00:00:04.879,,,,,,,,,,,,,"so this should be two over six",,,
00:24:24.225,00:24:38.033,00:00:13.808,,,,,,,,,,,,,"so technically you would have twenty twenty-three",,,
00:24:38.911,00:24:57.160,00:00:18.249,,,,,,,,,,,,,"all right that's what I get",,,
00:24:57.160,00:24:57.699,00:00:00.539,,,,,,,,,,,,"pause filler let's see pause filler",,,,
00:25:04.513,00:25:06.100,00:00:01.587,,,,,,,,,,,,"I think (sfx)",,,,
00:25:07.197,00:25:19.439,00:00:12.242,,,,,,,,,,,,"I don't see the sixty-one",,,,
00:25:21.016,00:25:23.231,00:00:02.215,,,,,,,,,,,,"there should be a sixty-one in this problem",,,,
00:25:25.396,00:25:27.790,00:00:02.394,,,,,,,,,,,,,"okay let's see sixty plus sixty-one",,,
00:25:28.898,00:25:35.163,00:00:06.265,,,,,,,,,,,,"because you see here this",,,,
00:25:35.712,00:25:36.032,00:00:00.320,,,,,,,,,,,,,"yeah",,,
00:25:36.032,00:25:52.554,00:00:16.522,,,,,,,,,,,,"all right so whenever you whenever you multiply them both sides you got to do six over three",,,,
00:25:55.188,00:26:00.077,00:00:04.889,,,,,,,,,,,,"and then six over three",,,,
00:26:00.077,00:26:11.710,00:00:11.633,,,,,,,,,,,,"and then you have one hundred eighty-six over three see",,,,
00:26:12.678,00:26:13.716,00:00:01.038,,,,,,,,,,,,,"oh yeah",,,
00:26:14.374,00:26:21.249,00:00:06.875,,,,,,,,,,,,"so we might have to redo this problem all over again so here",,,,
00:26:21.728,00:26:23.184,00:00:01.456,,,,,,,,,,,,"I'll just erase it all all right",,,,
00:26:23.853,00:26:24.292,00:00:00.439,,,,,,,,,,,,,"okay",,,
00:26:33.471,00:26:34.788,00:00:01.317,,,,,,,,,,,,"oh I'm erasing the problem",,,,
00:26:34.788,00:26:35.127,00:00:00.339,,,,,,,,,,,,"dang it",,,,
00:27:05.329,00:27:06.256,00:00:00.927,,,,,,,,,,,,"oh my gosh",,,,
00:27:12.582,00:27:13.899,00:00:01.317,,,,,,,,,,,,"all right",,,,
00:27:22.490,00:27:28.167,00:00:05.677,,,,,,,,,,,,"all right",,,,
00:27:29.234,00:27:31.070,00:00:01.836,,,"SV",,"SV1A",,,,,,,"it's like a blank slate",,,,
00:27:32.207,00:27:38.254,00:00:06.047,,,,,,,,,,,,,"yeah so yeah so six times thirty-one",,,
00:27:41.387,00:27:47.483,00:00:06.096,,,,,,,,,,,,"six over three six over three times pause filler",,,,
00:27:48.211,00:27:51.733,00:00:03.522,,,,,,,,,,,,,,"okay how many did you get through",,
00:27:51.733,00:27:53.499,00:00:01.766,,,,,,,,,,,,,"pause filler we're on the fifth",,,
00:27:53.888,00:28:01.621,00:00:07.733,,,,,,,,,,,,,,"okay that's fine (inaudible) so here are some candies",,
00:28:01.910,00:28:03.407,00:00:01.497,,,,,,,,,,,,"hey what candy",,,,
00:28:03.636,00:28:03.965,00:00:00.329,,,,,,,,,,,,,"yeah",,,
00:28:03.965,00:28:15.788,00:00:11.823,,,,,,,,,,,,,,"I'm going to close this okay",,
00:28:17.165,00:28:18.582,00:00:01.417,,,,,,,,,,,,,,"so you'll be tutoring now",,
00:28:18.612,00:28:19.400,00:00:00.788,,,,,,,,,,,,"all right",,,,
00:28:19.400,00:28:22.224,00:00:02.824,,,,,,,,,,,,,,"so (inaudible) but yeah (inaudible)",,
00:28:22.224,00:28:23.331,00:00:01.107,,,,,,,,,,,,,,,"pause filler so we're going to switch",
00:28:23.331,00:28:26.883,00:00:03.552,,,,,,,,,,,,,,,"now I'm going to tutor you so (inaudible)",
00:28:26.913,00:28:33.129,00:00:06.216,,,,,,,,,,,,"oh yeah I'm like really tired because I stayed until like pause filler twelve o'clock last night",,,,
00:28:33.368,00:28:33.977,00:00:00.609,,,,,,,,,,,,,,,"really then what",
00:28:33.977,00:28:37.429,00:00:03.452,,,,,,,,,,,,"yeah we had an opera to go to",,,,
00:28:37.429,00:28:39.036,00:00:01.607,,,,,,,,,,,,"and we got home at twelve",,,,
00:28:39.036,00:28:41.211,00:00:02.175,,,,,,,,,,,,"and I wanted to make a video for my YouTube",,,,
00:28:41.290,00:28:42.927,00:00:01.637,,,,,,,,,,,,"and I wrote the script",,,,
00:28:42.927,00:28:45.112,00:00:02.185,,,,,,,,,,,,"and I stayed up until like one in the morning so",,,,
00:28:45.112,00:28:46.419,00:00:01.307,,,,,,,,,,,,,,,"oh my god",
00:28:46.419,00:28:48.125,00:00:01.706,,,,,,,,,,,,,,,"so what's your YouTube channel about",
00:28:48.245,00:28:48.843,00:00:00.598,,,,,,,,,,,,,,,"just curious",
00:28:48.843,00:28:50.011,00:00:01.168,,,,,,,,,,,,"it's pretty random",,,,
00:28:50.011,00:28:55.159,00:00:05.148,,,,,,,,,,,,"it's just not really like focused on one thing all right",,,,
00:28:55.219,00:29:02.163,00:00:06.944,,,,,,,,,,,,"like whenever I feel like making I just make it",,,,
00:29:03.480,00:29:14.375,00:00:10.895,,,,,,,,,,,,,,,"okay ops so you're going to be the tutee now pause filler",
00:29:14.794,00:29:20.841,00:00:06.047,,,,,,,,,,,,,,,"but before you guys start we'll just a little bit take a little break",
00:29:20.841,00:29:22.886,00:00:02.045,,,,,,,,,,,,,,,"I'll be back with something in five minutes",
00:29:24.343,00:29:28.513,00:00:04.170,,,,,,,,,,,,"got it",,,,
00:29:32.245,00:29:34.709,00:00:02.464,,,,,,,,,,,,,"this is the first time they gave us candy",,,
00:29:34.709,00:29:35.407,00:00:00.698,,,,,,,,,,,,"I know right",,,,
00:29:35.807,00:29:36.575,00:00:00.768,,,,,,,,,,,,,"this is awesome",,,
00:29:37.094,00:29:38.560,00:00:01.466,,,,,,,,,,,,"why didn't they think of it before",,,,
00:29:38.949,00:29:39.398,00:00:00.449,,,,,,,,,,,,,"I don't know",,,
00:29:42.721,00:29:43.778,00:00:01.057,,,,,,,,,,,,"and you know what's good",,,,
00:29:45.105,00:29:53.417,00:00:08.312,,,,,,,,,,,,"my mom said I don't have to go out with her like and my dad to go eating",,,,
00:29:53.417,00:29:59.333,00:00:05.916,,,,,,,,,,,,"and so I'm going to make my own food at home",,,,
00:29:59.333,00:30:00.760,00:00:01.427,,,,,,,,,,,,,"I'm going to GameStop after this",,,
00:30:00.959,00:30:01.857,00:00:00.898,,,,,,,,,,,,"you are",,,,
00:30:02.286,00:30:02.596,00:00:00.310,,,,,,,,,,,,,"yeah",,,
00:30:03.085,00:30:07.085,00:00:04.000,,,,,,,,,,,,"what are you getting",,,,
00:30:07.085,00:30:08.702,00:00:01.617,,,,,,,,,,,,,"pause filler games for the PS Vita",,,
00:30:09.191,00:30:14.070,00:00:04.879,,,"SV",,"SV2B",,,,,,,"PS Vita how old are you (laughter)",,,,
00:30:14.519,00:30:18.689,00:00:04.170,,,,,,,,,,,,,"pause filler well I only bought it so I can play one game one game",,,
00:30:20.585,00:30:23.279,00:00:02.694,,,,,,,,,,,,,"but now I know there's another game that I want so",,,
00:30:23.279,00:30:25.224,00:00:01.945,,,,,,,,,,,,"what's the first game you got",,,,
00:30:26.052,00:30:28.706,00:00:02.654,,,,,,,,,,,,,"pause filler I got Wipe Out 2048",,,
00:30:28.796,00:30:29.046,00:00:00.250,,,,,,,,,,,,"why",,,,
00:30:29.046,00:30:35.960,00:00:06.914,,,,,,,,,,,,,"it's something like it's playing racing game in the future",,,
00:30:37.955,00:30:38.903,00:00:00.948,,,,,,,,,,,,"sounds fun",,,,
00:30:39.432,00:30:40.380,00:00:00.948,,,,,,,,,,,,,"it is",,,
00:30:40.450,00:30:43.213,00:00:02.763,,,,,,,,,,,,"and what's the second game",,,,
00:30:43.583,00:30:47.514,00:00:03.931,,,,,,,,,,,,,"pause filler well I'm going to buy one for Attack on Titan",,,
00:30:50.487,00:30:52.293,00:00:01.806,,,,,,,,,,,,"I know what that is",,,,
00:30:52.422,00:30:54.378,00:00:01.956,,,,,,,,,,,,"it's a pretty freaky show I mean",,,,
00:30:54.747,00:30:54.947,00:00:00.200,,,,,,,,,,,,,"yeah",,,
00:30:57.100,00:31:03.697,00:00:06.597,,,,,,,,,,,,"pause filler I can see why people like Japanese cartoons",,,,
00:31:03.697,00:31:08.975,00:00:05.278,,,,,,,,,,,,"but sometimes sometimes your fan base takes it a little bit too seriously",,,,
00:31:09.324,00:31:09.683,00:00:00.359,,,,,,,,,,,,,"yeah",,,
00:31:11.050,00:31:15.680,00:00:04.630,,,,,,,,,,,,"all right all right listen up",,,,
00:31:16.917,00:31:25.637,00:00:08.720,,,,,,,,,,,,"sometimes you people or your fan base are like dresses up really hot",,,,
00:31:25.637,00:31:28.480,00:00:02.843,,,,,,,,,,,,"and I have to be honest I'm sorry",,,,
00:31:28.780,00:31:30.386,00:00:01.606,,,"SV",,"SV2B",,,,,,,"you people are down like weird",,,,
00:31:30.695,00:31:32.811,00:00:02.116,,,,,,,,,,,,,"that is true that is very true",,,
00:31:35.604,00:31:37.181,00:00:01.577,,,,,,,,,,,,"and it's sad",,,,
00:31:37.290,00:31:39.575,00:00:02.285,,,,,,,,,,,,"it's almost sad but true you know",,,,
00:31:40.084,00:31:40.653,00:00:00.569,,,,,,,,,,,,,"yeah",,,
00:31:41.012,00:31:43.247,00:00:02.235,,,"SV",,"SV2B",,,,,,,"like you people are weird",,,,
00:31:43.247,00:31:46.280,00:00:03.033,,,,,,,,,,,,"but sometimes you dress up really really hot",,,,
00:31:46.510,00:31:54.451,00:00:07.941,,,,,,,,,,,,"and I never like I've talked to many people like you before",,,,
00:31:55.260,00:31:56.307,00:00:01.047,,,,,,,,,,,,"you're just into it",,,,
00:31:56.437,00:32:02.523,00:00:06.086,,,,,,,,,,,,"and I just see absolutely nothing wrong with that but pause filler",,,,
00:32:02.523,00:32:06.833,00:00:04.310,,,,,,,,,,,,,"and many of those people that treat it almost like a religion",,,
00:32:08.988,00:32:10.974,00:00:01.986,,,,,,,,,,,,"yeah not really weirdoes",,,,
00:32:12.291,00:32:25.461,00:00:13.170,,,,,,,,,,,,"but weirdoes are the people that like basically you know the ones are sort of like you know like oh",,,,
00:32:25.461,00:32:28.873,00:00:03.412,,,,,,,,,,,,"I got to watch it I got to watch it pause filler",,,,
00:32:29.422,00:32:37.314,00:00:07.892,,,"SV",,"SV1C",,,,,,,"you know those are the kind you have the authority to insult almost but pause filler",,,,
00:32:37.384,00:32:44.548,00:00:07.164,,,"SV",,"SV1C",,,,,,,"and then there are the ones that are just like downright like freaking radical weeaboos as I call it",,,,
00:32:44.797,00:32:47.441,00:00:02.644,,,"SV",,"SV1C",,,,,,,"and they are just like always into it",,,,
